[ 2016-06-16T09:24:40+08:00 ] /T050/index.php/Public/main | SQL: SELECT COUNT(*) AS tp_count FROM `nnld_msg` WHERE ( `s_uid` = '1' ) AND ( `s_read` = 0 ) LIMIT 1   [ RunTime:0.000307s ]
[ 2016-06-16T09:24:40+08:00 ] /T050/index.php/Public/main | SQL: SELECT * FROM `nnld_fck` WHERE id=1 LIMIT 1   [ RunTime:0.001906s ]
[ 2016-06-16T09:24:40+08:00 ] /T050/index.php/Public/main | SQL: SHOW COLUMNS FROM `nnld_fck2` [ RunTime:0.009777s ]
[ 2016-06-16T09:24:40+08:00 ] /T050/index.php/Public/main | SQL: SELECT * FROM `nnld_fck2` WHERE uid=1  [ RunTime:0.000414s ]
[ 2016-06-16T09:24:40+08:00 ] /T050/index.php/Public/main | SQL: SELECT * FROM `nnld_fee` WHERE ( `id` = 1 ) LIMIT 1   [ RunTime:0.000598s ]
[ 2016-06-16T09:24:40+08:00 ] /T050/index.php/Public/main | SQL: SELECT `s4`,`s10`,`str28` FROM `nnld_fee` LIMIT 1   [ RunTime:0.000311s ]
[ 2016-06-16T09:24:40+08:00 ] /T050/index.php/Public/main | SQL: SELECT `str7`,`str21`,`str22`,`str23`,`b_money` FROM `nnld_fee` LIMIT 1   [ RunTime:0.000341s ]
[ 2016-06-16T09:24:40+08:00 ] /T050/index.php/Public/main | SQL: SHOW COLUMNS FROM `nnld_plan` [ RunTime:0.038182s ]
[ 2016-06-16T09:24:40+08:00 ] /T050/index.php/Public/main | SQL: SELECT * FROM `nnld_plan` WHERE ( `id` = 2 ) LIMIT 1   [ RunTime:0.000431s ]
[ 2016-06-16T09:24:40+08:00 ] /T050/index.php/Public/main | SQL: SELECT * FROM `nnld_plan` WHERE ( `id` = 3 ) LIMIT 1   [ RunTime:0.000356s ]
[ 2016-06-16T09:24:40+08:00 ] /T050/index.php/Public/main | SQL: SHOW COLUMNS FROM `nnld_product` [ RunTime:0.022993s ]
[ 2016-06-16T09:24:40+08:00 ] /T050/index.php/Public/main | SQL: SELECT * FROM `nnld_product` WHERE yc_cp=0 ORDER BY id desc LIMIT 3   [ RunTime:0.000386s ]
[ 2016-06-16T09:24:40+08:00 ] /T050/index.php/Public/main | SQL: SHOW COLUMNS FROM `nnld_tupian` [ RunTime:0.004157s ]
[ 2016-06-16T09:24:40+08:00 ] /T050/index.php/Public/main | SQL: SELECT `image` FROM `nnld_tupian` WHERE ( `ptype` = 0 ) ORDER BY create_time asc  [ RunTime:0.000472s ]
[ 2016-06-16T09:24:40+08:00 ] /T050/index.php/Public/main | SQL: SHOW COLUMNS FROM `nnld_img` [ RunTime:0.030255s ]
[ 2016-06-16T09:24:40+08:00 ] /T050/index.php/Public/main | SQL: SELECT * FROM `nnld_img` ORDER BY id desc LIMIT 1   [ RunTime:0.000418s ]
[ 2016-06-16T09:24:40+08:00 ] /T050/index.php/Public/main | SQL: SELECT * FROM `nnld_product`  [ RunTime:0.000323s ]
[ 2016-06-16T09:24:40+08:00 ] /T050/index.php/Public/main | INFO: Tag[ view_template ] --START--
[ 2016-06-16T09:24:40+08:00 ] /T050/index.php/Public/main | INFO: Run LocationTemplate Behavior [ RunTime:0.000820s ]
[ 2016-06-16T09:24:40+08:00 ] /T050/index.php/Public/main | INFO: Tag[ view_template ] --END-- [ RunTime:0.000917s ]
[ 2016-06-16T09:24:40+08:00 ] /T050/index.php/Public/main | INFO: Tag[ view_parse ] --START--
[ 2016-06-16T09:24:40+08:00 ] /T050/index.php/Public/main | NOTIC: [8] Undefined variable: count_msg b67c5a086845d7b95086b0883e864e54.php 第 51 行.
[ 2016-06-16T09:24:40+08:00 ] /T050/index.php/Public/main | NOTIC: [8] Use of undefined constant info_count - assumed 'info_count' b67c5a086845d7b95086b0883e864e54.php 第 85 行.
[ 2016-06-16T09:24:40+08:00 ] /T050/index.php/Public/main | NOTIC: [2] file_get_contents() [<a href='function.file-get-contents'>function.file-get-contents</a>]: Unable to find the wrapper &quot;https&quot; - did you forget to enable it when you configured PHP? b67c5a086845d7b95086b0883e864e54.php 第 163 行.
[ 2016-06-16T09:24:40+08:00 ] /T050/index.php/Public/main | NOTIC: [2] file_get_contents(https://www.allcoin.com/) [<a href='function.file-get-contents'>function.file-get-contents</a>]: failed to open stream: Invalid argument b67c5a086845d7b95086b0883e864e54.php 第 163 行.
[ 2016-06-16T09:24:54+08:00 ] /T050/index.php/Public/main | INFO: Run ParseTemplate Behavior [ RunTime:13.960832s ]
[ 2016-06-16T09:24:54+08:00 ] /T050/index.php/Public/main | INFO: Tag[ view_parse ] --END-- [ RunTime:13.960963s ]
[ 2016-06-16T09:24:54+08:00 ] /T050/index.php/Public/main | INFO: Tag[ view_filter ] --START--
[ 2016-06-16T09:24:54+08:00 ] /T050/index.php/Public/main | INFO: Run ContentReplace Behavior [ RunTime:0.000777s ]
[ 2016-06-16T09:24:54+08:00 ] /T050/index.php/Public/main | INFO: Run TokenBuild Behavior [ RunTime:0.000609s ]
[ 2016-06-16T09:24:54+08:00 ] /T050/index.php/Public/main | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000385s ]
[ 2016-06-16T09:24:54+08:00 ] /T050/index.php/Public/main | INFO: Run ShowRuntime Behavior [ RunTime:0.000641s ]
[ 2016-06-16T09:24:54+08:00 ] /T050/index.php/Public/main | INFO: Tag[ view_filter ] --END-- [ RunTime:0.002683s ]
[ 2016-06-16T09:24:54+08:00 ] /T050/index.php/Public/main | INFO: Tag[ view_end ] --START--
[ 2016-06-16T09:24:54+08:00 ] /T050/index.php/Public/main | INFO: Run ShowPageTrace Behavior [ RunTime:0.000634s ]
[ 2016-06-16T09:24:54+08:00 ] /T050/index.php/Public/main | INFO: Tag[ view_end ] --END-- [ RunTime:0.000723s ]
[ 2016-06-16T09:25:33+08:00 ] /T050/index.php/jifen | ERR: (ThinkException) 无法加载模块jifen
[ 2016-06-16T09:25:48+08:00 ] /T050/index.php/jifen/index | ERR: (ThinkException) 无法加载模块jifen
[ 2016-06-16T09:26:20+08:00 ] /T050/index.php/Jifen/index | INFO: Tag[ route_check ] --START--
[ 2016-06-16T09:26:20+08:00 ] /T050/index.php/Jifen/index | INFO: Run CheckRoute Behavior [ RunTime:0.000802s ]
[ 2016-06-16T09:26:20+08:00 ] /T050/index.php/Jifen/index | INFO: Tag[ route_check ] --END-- [ RunTime:0.000856s ]
[ 2016-06-16T09:26:20+08:00 ] /T050/index.php/Jifen/index | INFO: Tag[ app_begin ] --START--
[ 2016-06-16T09:26:20+08:00 ] /T050/index.php/Jifen/index | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000456s ]
[ 2016-06-16T09:26:20+08:00 ] /T050/index.php/Jifen/index | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000494s ]
[ 2016-06-16T09:26:21+08:00 ] /T050/index.php/Jifen/index | SQL: SHOW COLUMNS FROM `nnld_fck` [ RunTime:0.021025s ]
[ 2016-06-16T09:26:21+08:00 ] /T050/index.php/Jifen/index | SQL: SHOW COLUMNS FROM `nnld_bonus` [ RunTime:0.014704s ]
[ 2016-06-16T09:26:21+08:00 ] /T050/index.php/Jifen/index | SQL: SHOW COLUMNS FROM `nnld_fee` [ RunTime:0.016833s ]
[ 2016-06-16T09:26:21+08:00 ] /T050/index.php/Jifen/index | SQL: SELECT * FROM `nnld_fee` WHERE ( `id` = 1 ) LIMIT 1   [ RunTime:0.001128s ]
[ 2016-06-16T09:26:22+08:00 ] /T050/index.php/Jifen/index | SQL: SHOW COLUMNS FROM `nnld_fck` [ RunTime:0.013533s ]
[ 2016-06-16T09:26:22+08:00 ] /T050/index.php/Jifen/index | SQL: SELECT * FROM `nnld_fck` WHERE is_pay >0  [ RunTime:0.030110s ]
[ 2016-06-16T09:26:22+08:00 ] /T050/index.php/Jifen/index | INFO: Tag[ view_template ] --START--
[ 2016-06-16T09:26:22+08:00 ] /T050/index.php/Jifen/index | INFO: Run LocationTemplate Behavior [ RunTime:0.000676s ]
[ 2016-06-16T09:26:22+08:00 ] /T050/index.php/Jifen/index | INFO: Tag[ view_template ] --END-- [ RunTime:0.000727s ]
[ 2016-06-16T09:26:22+08:00 ] /T050/index.php/Jifen/index | INFO: Tag[ view_parse ] --START--
[ 2016-06-16T09:26:22+08:00 ] /T050/index.php/Jifen/index | INFO: Run ParseTemplate Behavior [ RunTime:0.035920s ]
[ 2016-06-16T09:26:22+08:00 ] /T050/index.php/Jifen/index | INFO: Tag[ view_parse ] --END-- [ RunTime:0.035969s ]
[ 2016-06-16T09:26:22+08:00 ] /T050/index.php/Jifen/index | INFO: Tag[ view_filter ] --START--
[ 2016-06-16T09:26:22+08:00 ] /T050/index.php/Jifen/index | INFO: Run ContentReplace Behavior [ RunTime:0.000273s ]
[ 2016-06-16T09:26:22+08:00 ] /T050/index.php/Jifen/index | INFO: Run TokenBuild Behavior [ RunTime:0.000258s ]
[ 2016-06-16T09:26:22+08:00 ] /T050/index.php/Jifen/index | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000190s ]
[ 2016-06-16T09:26:22+08:00 ] /T050/index.php/Jifen/index | INFO: Run ShowRuntime Behavior [ RunTime:0.000284s ]
[ 2016-06-16T09:26:22+08:00 ] /T050/index.php/Jifen/index | INFO: Tag[ view_filter ] --END-- [ RunTime:0.001100s ]
[ 2016-06-16T09:26:22+08:00 ] /T050/index.php/Jifen/index | INFO: Tag[ view_end ] --START--
[ 2016-06-16T09:26:22+08:00 ] /T050/index.php/Jifen/index | INFO: Run ShowPageTrace Behavior [ RunTime:0.000282s ]
[ 2016-06-16T09:26:22+08:00 ] /T050/index.php/Jifen/index | INFO: Tag[ view_end ] --END-- [ RunTime:0.000313s ]
[ 2016-06-16T09:26:42+08:00 ] /T050/index.php/Jifen/index | INFO: Tag[ route_check ] --START--
[ 2016-06-16T09:26:42+08:00 ] /T050/index.php/Jifen/index | INFO: Run CheckRoute Behavior [ RunTime:0.000518s ]
[ 2016-06-16T09:26:42+08:00 ] /T050/index.php/Jifen/index | INFO: Tag[ route_check ] --END-- [ RunTime:0.000584s ]
[ 2016-06-16T09:26:42+08:00 ] /T050/index.php/Jifen/index | INFO: Tag[ app_begin ] --START--
[ 2016-06-16T09:26:42+08:00 ] /T050/index.php/Jifen/index | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000361s ]
[ 2016-06-16T09:26:42+08:00 ] /T050/index.php/Jifen/index | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000421s ]
[ 2016-06-16T09:26:43+08:00 ] /T050/index.php/Jifen/index | SQL: SHOW COLUMNS FROM `nnld_fck` [ RunTime:0.012296s ]
[ 2016-06-16T09:26:43+08:00 ] /T050/index.php/Jifen/index | SQL: SHOW COLUMNS FROM `nnld_bonus` [ RunTime:0.006065s ]
[ 2016-06-16T09:26:43+08:00 ] /T050/index.php/Jifen/index | SQL: SHOW COLUMNS FROM `nnld_fee` [ RunTime:0.009164s ]
[ 2016-06-16T09:26:43+08:00 ] /T050/index.php/Jifen/index | SQL: SELECT * FROM `nnld_fee` WHERE ( `id` = 1 ) LIMIT 1   [ RunTime:0.000677s ]
[ 2016-06-16T09:26:43+08:00 ] /T050/index.php/Jifen/index | SQL: SHOW COLUMNS FROM `nnld_fck` [ RunTime:0.007756s ]
[ 2016-06-16T09:26:43+08:00 ] /T050/index.php/Jifen/index | SQL: SELECT * FROM `nnld_fck` WHERE is_pay >0  [ RunTime:0.017874s ]
[ 2016-06-16T09:26:43+08:00 ] /T050/index.php/Jifen/index | INFO: Tag[ view_template ] --START--
[ 2016-06-16T09:26:43+08:00 ] /T050/index.php/Jifen/index | INFO: Run LocationTemplate Behavior [ RunTime:0.000403s ]
[ 2016-06-16T09:26:43+08:00 ] /T050/index.php/Jifen/index | INFO: Tag[ view_template ] --END-- [ RunTime:0.000575s ]
[ 2016-06-16T09:26:43+08:00 ] /T050/index.php/Jifen/index | INFO: Tag[ view_parse ] --START--
[ 2016-06-16T09:26:43+08:00 ] /T050/index.php/Jifen/index | INFO: Run ParseTemplate Behavior [ RunTime:0.003791s ]
[ 2016-06-16T09:26:43+08:00 ] /T050/index.php/Jifen/index | INFO: Tag[ view_parse ] --END-- [ RunTime:0.003831s ]
[ 2016-06-16T09:26:43+08:00 ] /T050/index.php/Jifen/index | INFO: Tag[ view_filter ] --START--
