[ 2016-06-15T09:35:18+08:00 ] /t050/index.php/Transfer/vap | NOTIC: [2048] mktime() [<a href='function.mktime'>function.mktime</a>]: You should be using the time() function instead CommonAction.class.php 第 175 行.
[ 2016-06-15T09:35:19+08:00 ] /t050/index.php/Transfer/vap | SQL: SHOW COLUMNS FROM `nnld_fck` [ RunTime:0.012222s ]
[ 2016-06-15T09:35:20+08:00 ] /t050/index.php/Transfer/vap | SQL: SELECT `user_id`,`password`,`user_type` FROM `nnld_fck` WHERE ( `id` = '1' ) AND ( `user_id` = 'ldrj1688' ) LIMIT 1   [ RunTime:0.000325s ]
[ 2016-06-15T09:35:20+08:00 ] /t050/index.php/Transfer/vap | SQL: SHOW COLUMNS FROM `nnld_fee` [ RunTime:0.011465s ]
[ 2016-06-15T09:35:20+08:00 ] /t050/index.php/Transfer/vap | SQL: SELECT `i3`,`str27` FROM `nnld_fee` WHERE ( `id` = 1 ) LIMIT 1   [ RunTime:0.000301s ]
[ 2016-06-15T09:35:20+08:00 ] /t050/index.php/Transfer/vap | NOTIC: [8] Undefined index: user_type CommonAction.class.php 第 119 行.
[ 2016-06-15T09:35:20+08:00 ] /t050/index.php/Transfer/vap | SQL: SHOW COLUMNS FROM `nnld_vap` [ RunTime:0.034894s ]
[ 2016-06-15T09:35:20+08:00 ] /t050/index.php/Transfer/vap | SQL: SELECT * FROM `nnld_fee` LIMIT 1   [ RunTime:0.000428s ]
[ 2016-06-15T09:35:20+08:00 ] /t050/index.php/Transfer/vap | SQL: SELECT COUNT(*) AS tp_count FROM `nnld_vap` WHERE ( `uid` = '1' ) LIMIT 1   [ RunTime:0.000271s ]
[ 2016-06-15T09:35:20+08:00 ] /t050/index.php/Transfer/vap | SQL: SELECT * FROM `nnld_vap` WHERE ( `uid` = '1' ) ORDER BY id desc LIMIT 0,500   [ RunTime:0.000233s ]
[ 2016-06-15T09:35:20+08:00 ] /t050/index.php/Transfer/vap | SQL: SELECT `agent_use`,`agent_cash`,`is_agent`,`agent_xf`,`agent_gc`,`agent_kt` FROM `nnld_fck` WHERE ( `id` = '1' ) LIMIT 1   [ RunTime:0.000256s ]
[ 2016-06-15T09:35:20+08:00 ] /t050/index.php/Transfer/vap | NOTIC: [8] Undefined index: ePoints TransferAction.class.php 第 494 行.
[ 2016-06-15T09:35:20+08:00 ] /t050/index.php/Transfer/vap | INFO: Tag[ view_template ] --START--
[ 2016-06-15T09:35:20+08:00 ] /t050/index.php/Transfer/vap | INFO: Run LocationTemplate Behavior [ RunTime:0.000355s ]
[ 2016-06-15T09:35:20+08:00 ] /t050/index.php/Transfer/vap | INFO: Tag[ view_template ] --END-- [ RunTime:0.000388s ]
[ 2016-06-15T09:35:20+08:00 ] /t050/index.php/Transfer/vap | INFO: Tag[ view_parse ] --START--
